,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
Gorr The God Butcher,8961,11709,18609,31669,57490,58050,10366,20347,67630,9011,19934,48235,25904,21981,21667,6812,8750,12004,10404,14388,12884,8334,14403,24192,4370,34609,6033,21423,8267,19427,8662,10835,24100,7361,23676,36541,25519,4657,10874,4843,20324,40889,11087,6941,73750,23743,52421,63964,24267,60175,18988,53373,15314,45597,9540,39496
Hawkeye,1018,1027,1749,3107,7366,6879,1323,1937,9557,1211,1966,5931,2288,2194,2314,606,1025,1785,1255,2422,1351,1040,2011,4370,2918,4023,694,2186,966,2394,983,1735,3107,1108,2445,4213,2323,1039,1299,623,2853,5417,1272,815,8968,2289,6213,7905,2590,7439,1835,6026,2092,5459,937,3528
Hela,7224,7499,15674,20311,46900,47827,7962,13921,66220,7649,13910,39041,15035,15222,15168,4677,6699,12134,7416,12677,9841,6549,12494,34609,4023,19111,5473,14767,6340,14216,6033,9188,19384,7568,16377,25265,18680,4481,7962,4122,17634,35913,9061,5824,55758,15679,41448,56372,18081,44759,14774,45579,15289,34475,6830,23105
Human Torch,1571,1362,2449,4291,8327,8403,1511,3013,11290,1428,2631,8029,3668,2881,2790,932,1209,2383,1447,3078,1834,1346,2281,6033,694,5473,3739,3226,1728,2947,1357,1397,4228,1554,2925,5305,3408,603,1952,887,4207,6558,1602,1068,11461,2992,7848,9516,3296,9306,2243,8562,2544,6635,1405,4569
Iron Fist,4395,5119,7706,14015,23831,27956,4654,9964,32354,3883,9205,22600,14852,10283,10126,3320,4344,6251,5378,7251,6997,4196,7126,21423,2186,14767,3226,11589,3566,10233,4787,4722,13078,3491,10561,16443,13211,2163,5355,2424,9244,21643,5837,3162,35363,9767,24024,28865,10487,27472,8096,24198,8329,20292,3980,19244
Iron Man,1920,1856,2957,5702,11464,11501,2178,3649,15181,2742,3396,11278,4274,3877,3562,1138,1790,2787,2253,4435,2315,1847,3326,8267,966,6340,1728,3566,5004,4041,1951,2760,5228,1972,3609,7287,3112,1535,2318,1579,5552,8584,2392,1437,15354,4061,10718,12834,4583,13454,2913,10470,3475,9229,2283,6221
Magik,4426,4835,6769,13906,25540,27519,4695,9594,32806,3745,8879,24251,14269,10094,9774,2990,4343,6029,5410,7769,6419,4514,6998,19427,2394,14216,2947,10233,4041,11529,5262,5136,13539,3528,9831,15725,12262,2457,5216,2442,9070,21450,5507,3063,36508,9561,24336,28926,10173,28714,7624,23529,8439,20705,4062,18247
Mister Fantastic,2106,2376,3265,5113,11090,12083,2109,4094,14645,1802,4048,10818,5166,4405,4282,1795,2583,2608,2525,3729,3071,2049,3157,8662,983,6033,1357,4787,1951,5262,5146,2706,4709,1688,4630,6700,6630,1299,2307,1191,4258,8593,2421,1336,15408,4260,10889,12783,4427,13333,3329,10138,3703,9356,1868,7137
Moon Knight,2190,2138,3854,11846,15530,16338,3728,4357,20493,3919,4471,15214,6693,4996,4889,1259,1920,3727,3208,5917,2734,2365,5123,10835,1735,9188,1397,4722,2760,5136,2706,6922,8094,2720,5022,9974,4787,2315,2977,1724,7042,13285,3119,1717,21297,5512,14436,17972,6033,19433,4972,14007,5006,12693,2351,8838
Namor,6187,6795,10029,15492,34469,36044,6368,11677,46570,6042,11478,31619,12255,12032,12951,5049,7904,7726,6375,10344,8994,5782,8624,24100,3107,19384,4228,13078,5228,13539,4709,8094,14961,5188,13379,18677,21700,3714,6447,3303,12894,24253,6837,3920,43894,11971,31717,39927,14266,38473,10005,32834,11040,27239,5611,19342
