,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
Daredevil,0.45,-0.31,0.52,-0.0,0.32,0.78,0.36,0.01,0.66,-0.98,-0.02,0.5,0.96,0.29,0.44,0.3,0.76,0.75,0.86,0.95,-0.0,0.71,0.63,-0.29,0.52,-0.02,0.59,0.35,0.83,-0.13,0.8,0.8,0.97,0.94,-0.35,0.29,0.57,0.99,0.5,0.2,0.87,0.94,0.53,0.44,0.8,0.84,0.42,0.66,0.57,0.62,-0.13,0.81,-0.54,0.01,0.16,0.89
Deadpool Duelist,-0.57,-0.87,0.16,-0.88,-0.46,0.01,-0.66,-0.82,-0.19,-0.99,-0.72,-0.45,0.45,-0.54,-0.37,-0.66,0.05,-0.26,-0.26,0.63,-0.71,-0.0,-0.57,-0.78,-0.14,-0.77,-0.69,-0.74,-0.39,-0.84,-0.37,0.12,0.57,0.83,-0.7,-0.56,-0.44,0.93,-0.38,-0.87,0.27,0.18,-0.16,-0.17,0.2,-0.12,-0.31,-0.22,-0.28,-0.24,-0.84,-0.05,-0.89,-0.86,-0.81,0.34
Elsa Bloodstone,-0.57,-0.7,0.34,-0.75,-0.1,0.23,0.05,-0.62,0.34,-0.99,-0.5,0.13,0.18,-0.37,-0.27,-0.72,0.33,0.67,0.31,0.91,-0.63,0.57,-0.0,-0.63,0.72,-0.21,-0.19,-0.44,0.2,-0.84,-0.33,0.78,0.46,0.95,-0.39,-0.43,-0.06,0.98,-0.1,-0.73,0.71,0.6,0.05,0.03,0.54,0.61,0.15,0.21,0.26,-0.0,-0.5,0.5,-0.77,-0.56,-0.73,0.39
Gorr The God Butcher,0.33,0.01,0.75,-0.47,0.41,0.69,0.54,-0.09,0.77,-0.98,0.11,0.65,0.92,0.23,0.39,0.77,0.88,0.86,0.79,0.98,0.29,0.78,0.63,-0.0,0.88,-0.03,0.52,0.55,0.81,0.03,0.7,0.95,0.94,0.98,0.21,0.05,0.66,0.99,0.69,0.09,0.88,0.9,0.71,0.48,0.86,0.8,0.54,0.69,0.57,0.63,0.07,0.74,-0.35,-0.01,-0.34,0.76
Hawkeye,-0.54,-0.5,-0.04,-0.96,-0.38,-0.25,-0.27,-0.88,-0.1,-1.0,-0.7,-0.69,-0.6,-0.8,0.13,-0.61,0.01,0.07,0.1,0.5,-0.52,0.14,-0.72,-0.88,-0.0,-0.83,-0.96,-0.54,-0.8,-0.8,-0.58,0.32,-0.25,0.82,-0.54,-0.72,-0.46,0.96,-0.37,-0.95,-0.2,-0.15,-0.78,-0.57,0.24,0.45,-0.3,-0.3,-0.21,-0.18,-0.8,-0.2,-0.95,-0.89,-0.97,-0.2
Hela,-0.02,-0.19,0.56,-0.74,0.37,0.42,0.12,-0.16,0.57,-0.98,-0.14,0.44,0.64,-0.16,0.39,0.55,0.85,0.71,0.68,0.96,0.02,0.77,0.21,0.03,0.83,-0.0,-0.62,0.07,-0.6,-0.49,-0.12,0.78,0.74,0.97,-0.12,0.23,0.26,0.99,0.25,-0.71,0.76,0.77,0.23,0.28,0.77,0.81,0.47,0.4,0.48,0.49,-0.2,0.67,-0.75,-0.3,-0.67,0.68
Human Torch,0.88,-0.67,0.85,-0.65,0.32,0.7,0.5,0.08,0.74,-1.0,0.02,0.61,0.34,-0.08,0.36,-0.02,-0.08,0.94,0.26,0.98,-0.59,0.69,0.19,-0.52,0.96,0.62,-0.0,0.54,0.67,-0.74,0.16,0.79,0.93,0.98,-0.35,0.24,0.62,0.97,0.66,-0.07,0.95,0.6,0.13,0.66,0.77,0.87,0.5,0.46,0.72,0.65,-0.61,0.82,-0.61,-0.26,-0.29,0.81
Iron Fist,-0.33,-0.56,0.55,-0.52,0.03,0.72,0.02,-0.51,0.56,-0.98,-0.17,0.39,0.76,-0.04,-0.18,0.18,0.31,0.68,0.71,0.95,-0.35,0.74,0.44,-0.55,0.54,-0.07,-0.54,-0.0,0.17,-0.45,0.48,0.65,0.93,0.96,-0.03,-0.1,0.23,0.99,0.4,-0.35,0.82,0.88,0.45,0.37,0.69,0.7,0.26,0.53,0.4,0.22,-0.51,0.59,-0.45,-0.23,-0.57,0.74
Iron Man,0.55,-0.49,0.51,-0.8,0.1,0.22,-0.52,-0.33,0.53,-1.0,-0.64,0.11,0.36,-0.58,0.1,-0.47,-0.28,0.88,-0.3,0.96,-0.83,0.39,-0.2,-0.81,0.8,0.6,-0.67,-0.17,-0.0,-0.88,-0.56,0.22,0.68,0.98,-0.53,-0.17,0.64,0.86,0.37,-0.67,0.91,0.34,-0.76,0.21,0.61,0.76,0.15,0.19,0.32,0.18,-0.54,0.66,-0.83,-0.64,-0.7,0.48
Magik,0.55,-0.11,0.89,0.33,0.62,0.9,0.7,0.18,0.85,-0.85,0.36,0.74,0.96,0.41,0.62,0.74,0.89,0.88,0.83,0.98,0.13,0.84,0.84,-0.03,0.8,0.49,0.74,0.45,0.88,-0.0,0.91,0.96,0.98,0.99,0.48,0.52,0.73,0.99,0.7,0.54,0.92,0.95,0.87,0.52,0.93,0.93,0.73,0.84,0.79,0.83,0.31,0.91,-0.11,0.18,-0.2,0.92
Mister Fantastic,-0.56,-0.8,0.53,-0.8,-0.24,0.44,0.18,-0.47,0.39,-0.99,-0.36,0.08,0.39,-0.29,-0.37,-0.59,-0.41,0.63,0.06,0.93,-0.8,0.37,0.33,-0.7,0.58,0.12,-0.16,-0.48,0.56,-0.91,-0.0,0.73,0.74,0.97,-0.52,-0.44,-0.4,0.94,0.3,-0.74,0.81,0.7,0.27,0.03,0.46,0.35,0.12,0.37,0.34,0.17,-0.32,0.5,-0.8,-0.64,-0.74,0.24
Moon Knight,-0.33,-0.86,-0.24,-0.98,-0.56,-0.36,-0.88,-0.81,-0.42,-1.0,-0.87,-0.59,-0.61,-0.78,-0.2,-0.76,-0.28,-0.37,-0.44,0.53,-0.8,-0.12,-0.78,-0.95,-0.32,-0.78,-0.79,-0.65,-0.22,-0.96,-0.73,-0.0,-0.43,0.55,-0.84,-0.89,-0.5,0.9,-0.58,-0.89,-0.17,-0.55,-0.66,-0.75,-0.01,-0.1,-0.48,-0.53,-0.56,-0.49,-0.98,-0.18,-0.96,-0.94,-0.96,-0.24
Namor,-0.86,-0.96,-0.3,-0.95,-0.68,-0.5,-0.71,-0.91,-0.52,-1.0,-0.83,-0.66,-0.39,-0.83,-0.84,-0.95,-0.87,-0.06,-0.38,0.75,-0.97,-0.57,-0.46,-0.94,0.25,-0.74,-0.93,-0.93,-0.68,-0.98,-0.74,0.43,-0.0,0.79,-0.9,-0.75,-0.95,0.92,-0.66,-0.85,0.28,-0.05,-0.63,-0.78,-0.24,-0.23,-0.53,-0.55,-0.56,-0.58,-0.89,-0.36,-0.97,-0.93,-0.96,-0.5
Phoenix,-0.94,-0.98,-0.63,-0.99,-0.9,-0.88,-0.93,-0.98,-0.77,-1.0,-0.96,-0.9,-0.92,-0.97,-0.87,-0.82,-0.41,-0.61,-0.87,-0.15,-0.94,-0.83,-0.95,-0.98,-0.82,-0.97,-0.98,-0.96,-0.98,-0.99,-0.97,-0.55,-0.79,-0.0,-0.97,-0.97,-0.92,0.56,-0.93,-1.0,-0.64,-0.86,-0.92,-0.92,-0.72,-0.63,-0.85,-0.88,-0.91,-0.89,-0.96,-0.72,-0.98,-0.99,-0.99,-0.79
Psylocke,0.03,-0.35,0.78,-0.64,0.24,0.6,0.04,-0.09,0.6,-0.99,0.12,0.5,0.87,-0.09,0.39,0.54,0.78,0.84,0.69,0.93,0.35,0.7,0.39,-0.21,0.54,0.12,0.35,0.03,0.53,-0.48,0.52,0.84,0.9,0.97,-0.0,0.06,0.53,0.98,0.36,-0.46,0.84,0.81,0.41,0.5,0.78,0.79,0.41,0.51,0.54,0.42,-0.29,0.69,-0.61,-0.16,-0.19,0.7
Scarlet Witch,0.03,-0.53,0.68,-0.52,0.14,0.54,0.48,-0.33,0.58,-0.98,0.01,0.53,0.74,-0.12,0.16,0.03,0.28,0.71,0.72,0.97,-0.29,0.56,0.43,-0.05,0.72,-0.23,-0.24,0.1,0.17,-0.52,0.44,0.89,0.75,0.97,-0.06,-0.0,-0.17,0.98,0.41,-0.62,0.81,0.81,0.61,0.26,0.78,0.87,0.45,0.38,0.51,0.5,-0.23,0.7,-0.43,-0.52,-0.6,0.68
Spider Man,-0.1,-0.63,0.36,-0.68,-0.14,0.41,-0.43,-0.54,0.23,-0.99,-0.41,0.03,0.73,-0.28,-0.17,0.0,0.37,0.44,0.12,0.92,-0.57,0.44,0.06,-0.66,0.46,-0.26,-0.62,-0.23,-0.64,-0.73,0.4,0.5,0.95,0.92,-0.53,0.17,-0.0,0.95,-0.03,-0.72,0.57,0.65,0.02,-0.07,0.52,0.39,-0.1,0.36,0.12,-0.04,-0.62,0.4,-0.85,-0.53,-0.81,0.61
Squirrel Girl,-0.97,-0.98,-0.94,-0.99,-0.97,-0.95,-0.99,-0.99,-0.92,-1.0,-0.98,-0.97,-0.97,-0.99,-0.97,-0.98,-0.96,-0.92,-0.95,-0.59,-0.99,-0.93,-0.98,-0.99,-0.96,-0.99,-0.97,-0.99,-0.86,-0.99,-0.94,-0.9,-0.92,-0.56,-0.98,-0.98,-0.95,-0.0,-0.98,-0.99,-0.95,-0.96,-0.98,-0.97,-0.88,-0.79,-0.95,-0.96,-0.94,-0.96,-0.99,-0.93,-0.99,-0.99,-0.99,-0.92
Star Lord,-0.34,-0.69,0.57,-0.89,-0.1,0.27,-0.3,-0.5,0.53,-0.99,-0.42,-0.04,0.24,-0.42,0.01,-0.31,0.56,0.51,0.12,0.91,-0.5,0.38,0.1,-0.69,0.37,-0.25,-0.66,-0.4,-0.37,-0.7,-0.3,0.58,0.66,0.93,-0.36,-0.41,0.03,0.98,-0.0,-0.74,0.63,0.52,-0.15,-0.55,0.46,0.57,0.02,0.3,0.19,-0.07,-0.35,0.27,-0.72,-0.51,-0.8,0.35
Storm,0.76,0.04,0.87,-0.25,0.63,0.86,0.7,0.12,0.86,-0.98,0.61,0.74,0.71,0.37,0.67,-0.11,0.87,0.95,0.63,0.99,-0.2,0.87,0.73,-0.09,0.95,0.71,0.07,0.35,0.67,-0.54,0.74,0.89,0.85,1.0,0.46,0.62,0.72,0.99,0.74,-0.0,0.97,0.87,0.45,0.79,0.9,0.95,0.77,0.81,0.83,0.83,0.01,0.93,0.14,-0.04,0.26,0.88
